;Nome DP;Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;LatW;LongW
0;001 DP - Sé;HOMICÍDIO DOLOSO (2);2,0;1,0;3,0;1;1,0;2,0;0,0;0,0;1;...;...;...;11,0;-23,5571;-46,6342
1;001 DP - Sé;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2,0;1,0;3,0;1;1,0;2,0;0,0;0,0;1;...;...;...;11,0;-23,5571;-46,6342
2;001 DP - Sé;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5571;-46,6342
3;001 DP - Sé;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5571;-46,6342
4;001 DP - Sé;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1,0;0,0;1,0;1;1,0;1,0;0,0;0,0;3;...;...;...;8,0;-23,5571;-46,6342
5;001 DP - Sé;HOMICÍDIO CULPOSO OUTROS;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;...;...;...;0,0;-23,5571;-46,6342
6;001 DP - Sé;TENTATIVA DE HOMICÍDIO;2,0;0,0;1,0;0;0,0;0,0;2,0;4,0;1;...;...;...;10,0;-23,5571;-46,6342
7;001 DP - Sé;LESÃO CORPORAL SEGUIDA DE MORTE;0,0;0,0;0,0;0;0,0;1,0;0,0;0,0;0;...;...;...;1,0;-23,5571;-46,6342
8;001 DP - Sé;LESÃO CORPORAL DOLOSA;34,0;41,0;41,0;38;42,0;40,0;27,0;31,0;24;...;...;...;318,0;-23,5571;-46,6342
9;001 DP - Sé;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;14,0;15,0;11,0;10;10,0;14,0;9,0;9,0;13;...;...;...;105,0;-23,5571;-46,6342
10;001 DP - Sé;LESÃO CORPORAL CULPOSA - OUTRAS;1,0;0,0;2,0;2;1,0;2,0;0,0;0,0;2;...;...;...;10,0;-23,5571;-46,6342
11;001 DP - Sé;LATROCÍNIO;0,0;0,0;0,0;0;1,0;0,0;0,0;0,0;0;...;...;...;1,0;-23,5571;-46,6342
12;001 DP - Sé;Nº DE VÍTIMAS EM LATROCÍNIO;0,0;0,0;0,0;0;1,0;0,0;0,0;0,0;0;...;...;...;1,0;-23,5571;-46,6342
13;001 DP - Sé;TOTAL DE ESTUPRO (4);1,0;2,0;1,0;0;3,0;2,0;1,0;5,0;1;...;...;...;16,0;-23,5571;-46,6342
14;001 DP - Sé;ESTUPRO;1,0;1,0;1,0;0;1,0;1,0;0,0;3,0;1;...;...;...;9,0;-23,5571;-46,6342
15;001 DP - Sé;ESTUPRO DE VULNERÁVEL;0,0;1,0;0,0;0;2,0;1,0;1,0;2,0;0;...;...;...;7,0;-23,5571;-46,6342
16;001 DP - Sé;TOTAL DE ROUBO - OUTROS (1);287,0;203,0;252,0;217;299,0;274,0;282,0;316,0;285;...;...;...;2,415;-23,5571;-46,6342
17;001 DP - Sé;ROUBO - OUTROS;268,0;193,0;242,0;202;284,0;263,0;263,0;305,0;272;...;...;...;2,292;-23,5571;-46,6342
